,H,N,SimpleE,SimpleC,delta
283,0.0,0.0,2.541666103038682,42,6
284,2.0,1.6509337693190407,0.0,14,2
285,1.0,2.7447927035813517,2.2834259785183666,25,4
286,0.0,1.5420524889394025,4.302797717321977,24,4
287,1.8496454901834776,1.0,0.0,26,4
288,1.1902335974885947,2.4138363360424613,0.4942886510651562,39,6
289,1.470655591791413,0.0,1.6142035283673075,29,4
290,2.0,2.617526740467061,1.019552899933804,43,6
291,1.0,1.8222309614918988,0.0,14,2
292,2.0,2.0969809245274833,3.9251529329404447,24,4
293,0.0,1.24131739612658,4.875386008049767,20,2
294,0.0,0.7992041626762543,1.1270992958025334,15,2
295,1.0,1.7899374875362746,0.3548399529815738,37,6
296,1.0,0.0,3.2025382713285593,48,6
297,2.0,5.0,0.0,18,2
298,0.02235252958961631,2.0,0.0,30,4
299,3.0,3.2036726146158934,1.1543747019582273,29,4
300,2.0,2.0,0.43325999125018944,13,2
301,2.0,3.9984845147069477,0.609788104798614,32,4
302,1.8641522860370467,2.2248363845145285,0.0,40,6
303,1.2603017376600762,3.549027139438346,2.35183368269985,34,4
304,3.0,3.559365249233446,0.0,14,2
305,1.0,2.83697958352556,1.5658530352648778,23,4
306,0.07270894362695834,0.8919118155986578,2.8834738250997383,15,2
307,1.0,1.7729622659771396,0.31726853239730407,46,6
308,0.0,0.0,2.632970624297473,24,4
309,0.0,2.101110152590147,0.144134399946406,24,4
310,1.0,4.013345656546493,0.41045507713898244,17,2
311,1.0,2.3736859535240438,1.182584725327988,28,4
312,1.2967261195927433,0.0,3.440745556338821,21,2
313,2.0,0.7934102705761785,0.0,35,6
314,0.0,0.36266850123871297,5.0,26,4
315,0.0,1.276385995747165,0.0,27,4
316,2.2054070907411845,1.1817350431482598,0.0,21,2
317,2.0,2.467098286318217,4.74474908237155,41,6
318,0.0,0.37669569322678154,0.0,28,4
319,1.0,3.464118554472318,1.6387670464304018,25,4
320,1.0,5.0,0.15470137009093987,35,6
321,0.10605141814722074,2.7319264782462493,0.0,33,6
322,2.0,1.6369456245840652,1.6124533641745493,33,6
323,0.0,2.0,1.9211639291978715,26,4
324,1.0,4.393064132528936,1.5925412117108668,32,6
325,0.0,2.4920818256159745,3.2082696320541797,15,2
326,2.0,2.95529354405787,0.0,34,4
327,0.0,2.9445804001631295,0.7065794908687125,19,2
328,2.0,2.824720036398327,4.560375217872445,30,6
329,1.0,1.6790991733774874,4.773165146198693,40,6
330,0.0,2.0,0.0,12,2
331,0.0,4.002392190525381,0.0,37,6
332,1.0,1.2897280751926412,1.3329928987678301,37,6
333,1.0,2.3378323990654994,1.200177873699412,33,4
334,0.0,3.832256194949907,2.105782612953841,23,4
335,0.4285282120563938,2.3311822076992765,1.184242634355672,16,2
336,2.0,2.316322192559383,2.0057016505222602,36,6
337,0.2562713045728202,2.8763949375670608,1.0685839658040046,14,2
338,0.0,2.49232406689815,1.7005694116586638,22,2
339,1.0,3.6039428449614173,2.3444047368163865,20,2
340,1.523618809733041,0.4603313981306645,1.9506193222637627,12,2
341,1.0,2.064009763888982,2.6835549275896473,28,4
342,1.0,4.39060354098104,3.07910466287721,15,2
343,1.0,2.8608421351002438,0.0,32,6
344,1.932549409608825,3.981832155168215,3.143125493703581,41,6
345,2.128467431960313,1.5526333409387334,4.186886759273939,28,4
346,1.0,2.0,2.3944340920815383,15,2
347,0.0,0.0,0.4798490343753108,36,6
348,1.0,0.8254859804349355,1.9875127435579982,23,4
349,2.0,2.0,0.13841952944026867,28,4
350,1.310642080183844,1.0,0.1357126362400517,15,2
351,1.0,1.1932837503922595,0.0,14,2
352,0.0,0.7204611523876565,0.0,28,4
353,3.3011436165707666,5.0,0.9814734777844432,37,6
354,2.978694200685813,2.0,0.0,32,6
355,1.0,2.909650733533284,2.268278378655834,23,4
356,1.0,1.8081340053306132,5.0,44,6
357,2.613688957893694,0.0,0.7910015079846149,26,4
358,0.0,2.670928931362485,1.4639801741689913,39,6
359,0.0,1.0,5.0,21,4
360,0.4822547115433271,1.0240489401726132,3.3894721839567694,26,4
361,1.918679695813804,1.8944863111467987,0.0,28,4
362,0.0,0.0,0.0,20,2
363,1.0,4.302889835597529,1.4927143809935923,14,2
364,0.2487705802492055,0.0,0.7180858459023443,36,6
365,5.190369912132804,5.0,1.049028921703032,30,4
366,1.0,2.854790415313948,3.083678087616184,39,6
367,0.0,4.99132670930528,0.7679807550593586,27,4
368,0.0,2.7068570032588575,0.3360294011002375,39,6
369,4.0,0.0,3.0643048603705343,32,4
370,1.0,1.6304882224357948,1.0106809628468603,16,2
371,1.3103438498620834,2.994926929971892,2.1948621989232104,35,6
372,1.0,1.0,1.4019650540333064,9,2
373,1.3594982295394527,2.661179163574456,3.4651367204661994,15,2
374,0.0,2.9140092366171535,0.5676991354802696,27,4
375,1.5250000000000004,2.618240737566681,0.7353792185649192,25,4
376,3.1108421230302783,1.8433943802207082,1.4943281618606703,26,4
377,0.0,2.3951545261786906,0.4501088014832089,14,2
378,0.0,2.487436701355718,0.0,43,6
379,0.0,0.530750014293405,0.5161671070524494,14,2
380,1.0,1.056283934152484,1.2451069367414285,32,6
381,2.0,1.5067387583335523,0.0,29,4
382,1.0,0.6158657501612623,0.9342624750407742,38,6
